City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date
Barrow,71.2906,-156.7887,19.4,100,90,9.22,US,1619556025
Mitsamiouli,-11.3847,43.2844,81.03,100,21,8.37,KM,1619556106
Westport,41.1415,-73.3579,63.0,100,1,12.66,US,1619556106
Iqaluit,63.7506,-68.5145,24.8,100,20,3.44,CA,1619556107
Alice Springs,-23.7,133.8833,44.6,100,0,5.75,AU,1619556107
Changji,44.0167,87.3167,53.6,100,0,4.47,CN,1619556107
Tasiilaq,65.6145,-37.6368,37.4,100,75,3.44,GL,1619556108
Moussoro,13.6408,16.4901,88.12,100,0,13.56,TD,1619556108
Havøysund,70.9963,24.6622,30.2,100,90,18.41,NO,1619556109
Najrān,17.4924,44.1277,75.2,100,75,2.64,SA,1619556109
Bambous Virieux,-20.3428,57.7575,77.0,100,75,11.5,MU,1619556109
Ushuaia,-54.8,-68.3,44.6,100,75,3.44,AR,1619555862
Carnarvon,-24.8667,113.6333,60.8,100,0,5.75,AU,1619555811
Rikitea,-23.1203,-134.9692,77.54,100,1,9.71,PF,1619556110
Zhangye,38.9342,100.4517,44.01,100,12,3.89,CN,1619555948
Darhan,49.4867,105.9228,36.19,99,95,2.28,MN,1619556111
Arraial do Cabo,-22.9661,-42.0278,71.6,99,75,11.5,BR,1619556111
Hobart,-42.8794,147.3294,50.0,98,75,4.61,AU,1619555945
Bluff,-46.6,168.3333,43.0,98,100,5.99,NZ,1619556112
Jamestown,42.097,-79.2353,73.4,98,1,11.5,US,1619556085
Russell,32.3502,-85.1999,84.2,98,1,8.05,US,1619556112
New Norfolk,-42.7826,147.0587,46.0,98,88,3.27,AU,1619556112
Albany,42.6001,-73.9662,68.0,98,93,2.06,US,1619556082
Putyatino,54.16,41.1169,36.3,98,71,14.58,RU,1619556113
Ukiah,39.1502,-123.2078,73.0,97,1,3.44,US,1619556013
Half Moon Bay,37.4636,-122.4286,69.01,97,1,13.8,US,1619555543
Whitianga,-36.8333,175.7,57.0,97,7,1.01,NZ,1619556114
Kapaa,22.0752,-159.319,80.01,97,1,5.75,US,1619556114
Punta Arenas,-53.15,-70.9167,46.4,97,90,9.22,CL,1619555824
Kununurra,-15.7667,128.7333,75.2,97,62,2.35,AU,1619556114
Vaini,-21.2,-175.2,73.4,97,75,19.57,TO,1619556115
Avarua,-21.2078,-159.775,80.6,96,20,8.05,CK,1619555939
Padmanābhapuram,8.2333,77.3333,82.4,96,20,4.79,IN,1619556115
Bay-Khaak,51.1667,94.5,42.76,96,100,3.51,RU,1619556116
Dongsheng,39.8161,109.9776,36.43,96,9,7.11,CN,1619556116
Bethel,41.3712,-73.414,69.01,96,1,11.5,US,1619555867
Nikolskoye,59.7035,30.7861,36.0,96,40,2.24,RU,1619556116
Port Alfred,-33.5906,26.891,64.96,96,56,12.01,ZA,1619555832
Cape Town,-33.9258,18.4232,61.0,95,0,8.05,ZA,1619555954
Akçakoca,41.0866,31.1162,54.79,95,87,2.46,TR,1619556117
Te Anau,-45.4167,167.7167,39.43,95,95,1.25,NZ,1619555551
Aiken,33.5835,-81.5998,84.0,95,1,12.66,US,1619556118
Talnakh,69.4865,88.3972,26.94,95,97,10.92,RU,1619556118
Gumdag,39.2061,54.5906,62.4,95,76,13.51,TM,1619556118
Busselton,-33.65,115.3333,55.0,95,30,3.33,AU,1619556119
Hermanus,-34.4187,19.2345,57.99,95,100,6.17,ZA,1619556119
Rovaniemi,66.5,25.7167,30.2,95,75,6.91,FI,1619555544
Kamina,-8.7386,24.9906,64.85,95,66,2.19,CD,1619556120
Butaritari,3.0707,172.7902,82.24,95,66,11.81,KI,1619556125
Kitui,-1.367,38.0106,64.47,95,85,4.32,KE,1619556125
Ilulissat,69.2167,-51.1,37.4,95,75,1.23,GL,1619556126
Guiratinga,-16.3494,-53.7583,79.81,94,65,2.46,BR,1619556126
Olean,42.0776,-78.4297,78.8,94,75,8.05,US,1619556127
Tongliao,43.6125,122.2653,45.68,94,22,13.35,CN,1619556127
Trenggalek,-8.05,111.7167,75.22,94,93,3.02,ID,1619556127
Baikunthpur,23.25,82.55,74.68,94,0,3.27,IN,1619556128
Usinsk,65.9939,57.5281,29.34,94,98,8.97,RU,1619556128
The Valley,18.217,-63.0578,84.2,94,20,14.97,AI,1619556128
Teguise,29.0605,-13.564,68.0,94,40,3.44,ES,1619556129
Tuktoyaktuk,69.4541,-133.0374,15.8,94,20,6.91,CA,1619556129
Luwuk,-0.9516,122.7875,76.68,94,16,3.27,ID,1619556130
Khatanga,71.9667,102.5,19.76,94,100,7.07,RU,1619556130
Hithadhoo,-0.6,73.0833,82.35,94,99,1.5,MV,1619556130
Tevaitoa,-16.7833,-151.5,81.3,94,31,9.37,PF,1619556131
Sitka,57.0531,-135.33,48.2,94,90,19.57,US,1619556131
Tabas,33.5959,56.9244,79.36,94,40,2.91,IR,1619556131
Yangi Marg`ilon,40.4272,71.7189,71.6,94,0,4.61,UZ,1619556132
Padang,-0.9492,100.3543,76.08,93,100,5.32,ID,1619555541
Palmas,-10.2128,-48.3603,80.6,93,40,4.61,BR,1619556132
Tuatapere,-46.1333,167.6833,43.0,93,98,5.99,NZ,1619556133
Russellville,35.2784,-93.1338,80.01,93,75,8.05,US,1619556048
Athabasca,54.7169,-113.2854,26.6,93,100,4.61,CA,1619555552
Awjilah,29.1081,21.2869,79.02,93,0,10.83,LY,1619556133
Vao,-22.6667,167.4833,73.11,93,72,18.66,NC,1619556134
Yellowknife,62.456,-114.3525,15.8,93,20,16.11,CA,1619556134
Tiksi,71.6872,128.8694,1.72,93,62,7.63,RU,1619556012
Lagoa,39.05,-27.9833,59.52,93,100,13.78,PT,1619556134
Ponta do Sol,32.6667,-17.1,61.0,93,100,1.01,PT,1619556135
Klaksvík,62.2266,-6.589,41.0,93,90,6.91,FO,1619556017
Torbay,47.6666,-52.7314,46.4,93,90,11.5,CA,1619556135
Mar del Plata,-38.0023,-57.5575,68.0,93,0,10.36,AR,1619555933
Pacific Grove,36.6177,-121.9166,64.99,92,1,11.5,US,1619555540
Keminmaa,65.8596,24.8228,28.4,92,0,4.61,FI,1619556136
Khovu-Aksy,51.1333,93.6,37.81,92,100,3.02,RU,1619556136
Qandala,11.472,49.8728,86.0,92,75,4.52,SO,1619556137
Linxia Chengguanzhen,35.6003,103.2064,35.44,92,49,1.41,CN,1619555948
Qaanaaq,77.484,-69.3632,38.46,92,100,5.23,GL,1619556002
Egvekinot,66.3167,-179.1667,24.67,92,100,3.0,RU,1619556138
Fare,-16.7,-151.0167,81.21,92,36,9.01,PF,1619555580
Zyryanka,65.75,150.85,21.02,91,20,11.5,RU,1619556138
Coffs Harbour,-30.3,153.1333,60.8,91,40,10.36,AU,1619556139
Port Blair,11.6667,92.75,81.3,91,83,3.76,IN,1619556139
Okhotsk,59.3833,143.3,26.49,91,85,2.24,RU,1619556139
Geraldton,-28.7667,114.6,55.4,91,19,4.61,AU,1619556145
Alofi,-19.0595,-169.9187,81.95,91,100,23.76,NU,1619555885
Santa Maria,-29.6842,-53.8069,69.8,90,0,3.44,BR,1619556145
Saskylakh,71.9167,114.0833,25.5,90,96,11.03,RU,1619556146
Puerto Escondido,15.85,-97.0667,87.8,90,20,6.91,MX,1619555856
Roald,62.5833,6.1333,37.4,90,0,11.5,NO,1619556146
Upernavik,72.7868,-56.1549,33.08,90,87,18.72,GL,1619556146
Zabaykal'sk,49.6333,117.3167,29.57,89,99,22.17,RU,1619556147
Saint George,37.1041,-113.5841,61.0,89,76,2.91,US,1619556147
Bonavista,48.6499,-53.1147,44.6,89,100,8.05,CA,1619556147
Sozimskiy,59.7418,52.2482,36.18,89,100,3.87,RU,1619556148
Norman Wells,65.282,-126.8329,23.0,89,75,8.05,CA,1619556148
Doha,25.2867,51.5333,84.2,89,22,4.61,QA,1619556054
Lüderitz,-26.6481,15.1594,59.54,89,4,7.34,NA,1619556149
Richards Bay,-28.783,32.0377,73.49,89,45,13.89,ZA,1619556092
Fortuna,40.5982,-124.1573,63.0,89,1,14.97,US,1619556149
Ende,-8.8432,121.6623,72.97,89,96,1.79,ID,1619556150
Nome,64.5011,-165.4064,35.6,89,1,3.44,US,1619555970
Arlit,18.7369,7.3853,93.61,89,71,5.37,NE,1619556150
Bredasdorp,-34.5322,20.0403,57.2,89,100,3.44,ZA,1619556150
Atuona,-9.8,-139.0333,79.59,88,96,14.27,PF,1619556151
Aykhal,66.0,111.5,4.1,88,90,6.22,RU,1619556151
Tura,25.5198,90.2201,76.69,88,91,4.0,IN,1619556152
Nānākuli,21.3906,-158.1547,80.01,88,75,4.61,US,1619556152
Mataura,-46.1927,168.8643,43.0,88,100,5.99,NZ,1619556152
Airai,-8.9266,125.4092,56.07,88,11,1.48,TL,1619556153
Merauke,-8.4667,140.3333,77.14,88,30,5.93,ID,1619555963
Arzachena,41.0769,9.3887,62.6,88,40,10.36,IT,1619556153
